suburb,point
Lincoln Park,"41.9296,-87.6431"
Lower West Side,"41.8575,-87.6616"
Irving Park,"41.9534,-87.732"
Lake View,"41.9462,-87.6733"
Near South Side,"41.858,-87.62"
Loop,"41.8772,-87.6278"
Near West Side,"41.8859,-87.6672"
Near South Side,"41.8672,-87.626"
Loop,"41.8813,-87.6295"
Lincoln Park,"41.9208,-87.6637"
Near South Side,"41.8672,-87.626"
Near North Side,"41.8967,-87.6357"
Uptown,"41.9652,-87.6581"
Lake View,"41.9494,-87.6545"
Uptown,"41.9614,-87.6546"
,"41.903,-87.6313"
West Town,"41.8985,-87.6866"
Near West Side,"41.8717,-87.651"
Lincoln Park,"41.9291,-87.6491"
Near North Side,"41.8971,-87.6357"
,"41.8958,-87.6201"
Lake View,"41.9401,-87.6529"
Logan Square,"41.9248,-87.7145"
Near West Side,"41.8793,-87.6399"
Near West Side,"41.8649,-87.6471"
Loop,"41.8827,-87.6325"
Lake View,"41.9437,-87.664"
Loop,"41.8847,-87.6277"
Near North Side,"41.8938,-87.6417"
West Town,"41.9104,-87.6972"
Near North Side,"41.8977,-87.6235"
Lincoln Park,"41.9156,-87.6346"
Near North Side,"41.8978,-87.6429"
Logan Square,"41.916,-87.6773"
West Town,"41.8916,-87.6484"
Uptown,"41.9617,-87.6546"
Lake View,"41.9579,-87.6736"
West Town,"41.896,-87.6678"
Near North Side,"41.8959,-87.6269"
,"41.899,-87.63"
Lincoln Square,"41.9798,-87.6775"
Near West Side,"41.8689,-87.659"
Logan Square,"41.916,-87.6689"
North Park,"41.9804,-87.7161"
Loop,"41.8845,-87.6276"
,"41.8968,-87.6216"
Loop,"41.8728,-87.624"
Near North Side,"41.894,-87.6293"
Lake View,"41.9357,-87.6636"
,"41.8943,-87.6228"
,"41.9029,-87.6314"
Loop,"41.8847,-87.6195"
,"41.901,-87.6238"
West Town,"41.8984,-87.6866"
Irving Park,"41.9611,-87.6954"
Lincoln Park,"41.9215,-87.6538"
,"41.8987,-87.6299"
Uptown,"41.9585,-87.655"
Lincoln Park,"41.9295,-87.6431"
Lincoln Park,"41.9326,-87.6364"
Rogers Park,"42.0045,-87.6724"
Lincoln Park,"41.9114,-87.6387"
Loop,"41.8869,-87.626"
Edgewater,"41.9784,-87.6598"
Near North Side,"41.8949,-87.6323"
Near West Side,"41.8819,-87.6488"
West Town,"41.8958,-87.6772"
Uptown,"41.9677,-87.6501"
Lincoln Park,"41.9112,-87.6385"
Near West Side,"41.8835,-87.6413"
Lower West Side,"41.8549,-87.6762"
,"41.9081,-87.6312"
Near North Side,"41.8918,-87.6206"
Lincoln Park,"41.9138,-87.6347"
Near North Side,"41.8948,-87.6337"
Lincoln Park,"41.9259,-87.6493"
,"41.8892,-87.6386"
,"41.9023,-87.6277"
West Town,"41.8958,-87.6772"
Loop,"41.881,-87.6167"
Lake View,"41.9408,-87.6392"
Edgewater,"41.99,-87.6633"
,"41.9359,-87.6784"
,"41.903,-87.6313"
Lincoln Park,"41.9118,-87.6349"
Douglas,"41.8385,-87.6082"
Lake View,"41.9482,-87.6639"
Lake View,"41.9402,-87.653"
Fuller Park,"41.795,-87.6331"
Hyde Park,"41.7917,-87.584"
West Town,"41.8916,-87.6484"
,"41.9036,-87.6434"
Hyde Park,"41.8024,-87.5869"
Lake View,"41.9408,-87.6392"
Lincoln Park,"41.9183,-87.6363"
West Town,"41.8984,-87.6866"
Near North Side,"41.8918,-87.6206"
Lincoln Park,"41.9117,-87.6268"
Near West Side,"41.8714,-87.6736"
West Town,"41.8916,-87.6484"
Near West Side,"41.8783,-87.6439"
Lincoln Square,"41.9691,-87.6742"
,"41.9023,-87.6277"
Loop,"41.8793,-87.632"
Lincoln Park,"41.9182,-87.6437"
,"41.8944,-87.6227"
,"41.901,-87.6238"
Near South Side,"41.8578,-87.6246"
Loop,"41.8842,-87.6296"
Lincoln Park,"41.9114,-87.6387"
Logan Square,"41.9319,-87.7012"
Logan Square,"41.9146,-87.668"
Humboldt Park,"41.8947,-87.7309"
Woodlawn,"41.7851,-87.6011"
Grand Boulevard,"41.8167,-87.6194"
,"41.8892,-87.6278"
Near West Side,"41.8695,-87.6555"
Loop,"41.8787,-87.6325"
Lincoln Park,"41.9326,-87.6364"
Lincoln Park,"41.9268,-87.6344"
Near North Side,"41.8958,-87.6259"
Lake View,"41.9365,-87.6475"
Loop,"41.8728,-87.624"
Near North Side,"41.8946,-87.638"
Loop,"41.8852,-87.6273"
West Town,"41.903,-87.6974"
,"41.9046,-87.6406"
,"41.9067,-87.6348"
Lincoln Park,"41.9287,-87.6538"
,"41.8568,-87.6339"
Kenwood,"41.8058,-87.5925"
Lake View,"41.9544,-87.648"
Loop,"41.8708,-87.6257"
Loop,"41.8741,-87.6277"
Loop,"41.8847,-87.6277"
Douglas,"41.8311,-87.6271"
Loop,"41.8678,-87.623"
Near North Side,"41.8971,-87.6357"
West Town,"41.9034,-87.6678"
Douglas,"41.8421,-87.617"
Lincoln Park,"41.9268,-87.6344"
West Town,"41.9013,-87.6774"
,"41.8947,-87.6344"
Near West Side,"41.8686,-87.6862"
Lake View,"41.9362,-87.6524"
,"42.026,-87.684"
Uptown,"41.9738,-87.6597"
Lake View,"41.9377,-87.6442"
Lincoln Park,"41.9263,-87.6308"
Loop,"41.8724,-87.6293"
Lincoln Park,"41.9106,-87.6532"
Lincoln Park,"41.9121,-87.6347"
South Shore,"41.7664,-87.5657"
Loop,"41.887,-87.6128"
Loop,"41.881,-87.6167"
West Town,"41.9077,-87.6726"
Logan Square,"41.9178,-87.6824"
Lincoln Park,"41.9184,-87.6522"
Near North Side,"41.8947,-87.6384"
